; 8 levels
;$00EBD4, $00F614  	10
;$00ECA1, $00F625  	48
;$00EE40, $00F678  	78
;$00EFFE, $00F6B3  	A1
;$00F2C3, $00F71E  	BE
;$00F40A, $00F750  	C8
;$00F4EF, $00F773  	CF
;$00F50A, $00F77B  	D4

; 7 levels
;$10F262, $10F4FA  	04
;$10F595, $10FCE5  	30
;$10F6EF, $10FD92  	67
;$10F8DF, $10FDA3  	93
;$10F9D3, $10FE9E  	B6
;$10FB77, $10FF39  	C5
;$10FBF2, $10FF8F  	CC

; 24 levels
;$11CA15, $11D2BB  	05
;$11CC89, $11D34D  	3E
;$11CE64, $11D39A  	6F
;$11CF8C, $11D3B4  	9A
;$11D3EF, $11DE77  	15
;$11D547, $11DEB5  	4D
;$11D8B1, $11DF32  	7B
;$11DB2E, $11DFA3  	A3
;$11DC0F, $11DFBA  	BF
;$11DC0F, $11DFC4  	D0
;$11DC87, $11DFBF  	C9
;$11DC9C, $11DFC9  	D5
;$11DDF6, $11DFF2  	D7
;$11E01E, $11E767  	21
;$11E511, $11E802  	58
;$11E6F7, $11E876  	85
;$11E8B1, $11F1E1  	2D
;$11EA84, $11F288  	64
;$11ED0B, $11F2F9  	90
;$11F048, $11F373  	B5
;$11F3DE, $11FB9F  	35
;$11F774, $11FC22  	6C
;$11F92E, $11FC93  	98
;$11FAA9, $11FD6A  	B9

; 24 levels
$12C709, $12CF07   	06
$12CE48, $12CFBD   	3F
$12D00A, $12D8E2   	09
$12D150, $12D91D   	41
$12D53C, $12D9E8   	71
$12D623, $12DA1A   	9C
$12D89C, $12DA55   	BA
$12DA6C, $12DD4A   	11
$12DC3F, $12DDCA   	49
$12DDE1, $12E8A7   	1E
$12DF5D, $12E915   	55
$12E347, $12EA22   	82
$12E3E1, $12EA2A   	AA
$12E7C7, $12EB37   	C1
$12EB8A, $12EEC2   	29
$12ED05, $12EF99   	60
$12EE6E, $12F043   	8C
$12F04E, $12F77D   	2C
$12F1CB, $12F7E8   	63
$12F3EF, $12F80B   	8F
$12F4D1, $12F81F   	B4
$12F8B1, $12FE33   	2F
$12FAD5, $12FEC2   	66
$12FC74, $12FF39   	92

; 45 levels
$148000, $14869D   	03
$1484B6, $14878F   	3D
$14856D, $14879A   	6E
$14861B, $1487C3   	99
$1487D4, $1493BF   	0A
$148D0D, $1494B7   	42
$148FF0, $14951C   	72
$14960E, $14A39B   	0F
$149D38, $14A4C3   	47
$149F1F, $14A52E   	77
$14A318, $14A5A5   	A0
$14A5BC, $14AD4A   	12
$14A716, $14AD7C   	4A
$14AB69, $14AE44   	79
$14ACFD, $14AE76   	A2
$14AEA8, $14B123   	13
$14B0CA, $14B233   	4B
$14B23B, $14BAE3   	14
$14B56B, $14BB57   	4C
$14B9A1, $14BC5E   	7A
$14BD23, $14C6C6   	19
$14BD91, $14C5D9   	51
$14C445, $14C6C8   	7F
$14C528, $14C6CD   	A7
$14C711, $14D2C1   	1B
$14CA56, $14D377   	52
$14CD2E, $14D3B8   	80
$14D10A, $14D45F   	A8
$14D488, $14DE8F   	1C
$14D4CA, $14DEA0   	53
$14D9A0, $14DF5C   	81
$14DD7D, $14E015   	A9
$14E035, $14E794   	1F
$14E5E9, $14E88F   	56
$14E743, $14E909   	83
$14E920, $14EFF2   	25
$14EA82, $14F030   	5C
$14EBEC, $14F095   	88
$14EEAB, $14F127   	AE
$14F13E, $14FCB8   	33
$14F40E, $14FD17   	6A
$14F9E1, $14FDF7   	96
$14FBC0, $14FE86   	B7
$14FEC4, $14FF83   	36
$14FF1F, $14FF91   	37

; 60 levels
;$158000, $15866B   	07
;$158250, $1586C7   	40
;$1582E6, $1586DE   	70
;$15839D, $1586E6   	9B
;$15876C, $159245   	0B
;$1589F7, $1592B0   	43
;$159182, $1593C9   	73
$1593F5, $159D95   	0C
$159527, $159DC4   	44
$1598BE, $159E3E   	74
$159917, $159E43   	9D
$159BF5, $159EBD   	BB
$159C5F, $159ED1   	C7
$159CFA, $159F06   	CE
$159F1A, $15AB8E   	0D
$15A301, $15AC4A   	45
$15A51B, $15ACD3   	75
$15A7E4, $15AD50   	9E
$15AA78, $15AD64   	BC
$15AD93, $15B8F5   	0E
$15AFDD, $15B981   	46
$15B666, $15BA16   	76
$15B7EC, $15BA30   	9F
$15B881, $15BA4A   	BD
$15BA64, $15C19A   	16
$15BBE8, $15C1F0   	4E
$15BEA6, $15C258   	7C
$15C0FA, $15C2C9   	A4
$15C307, $15C4E2   	1A
$15C59E, $15CA77   	1D
$15C7F8, $15CB51   	54
$15CC16, $15D759   	24
$15D16B, $15D7D6   	5B
$15D4BA, $15D868   	87
$15D6BD, $15D8D6   	AD
$15D6DF, $15D8E7   	C2
$15D90D, $15E689   	26
$15DAEC, $15E6FA   	5D
$15DD93, $15E7A4   	89
$15DFDF, $15E83C   	AF
$15E2C8, $15E886   	C3
$15E43D, $15E8A6   	CA
$15E663, $15E8DE   	D1
$15E8E3, $15F013   	2E
$15EB1B, $15F096   	65
$15EE89, $15F137   	91
$15F196, $15FD47   	34
$15F222, $15FDA0   	6B
$15F2E7, $15FDC3   	97
$15F3A1, $15FDCE   	B8
$15F51C, $15FE39   	C6
$15F6BC, $15FE9E   	D8
$15F7F4, $15FEE8   	D9
$15F83A, $15FEF3   	CD
$15F8F7, $15FF28   	D3
$15F9B2, $15FF69   	D6
$15FBA2, $15FF7D   	DC
$15FCBE, $15FFD0   	DD
$15FCEA, $15FFD5   	DA
$15FCEA, $15FFD5   	DB

; 43 levels
$168000, $16855E   	38
$168042, $168560   	39
$1681C7, $168583   	00
$1684C5, $168642   	3A
$168671, $1690B5   	02
$16873E, $1690D5   	3C
$168F5C, $1691B5   	6D
$1691D5, $1694A5   	08
$16953D, $169E75   	17
$1695D4, $169E92   	4F
$169D23, $169F63   	7D
$169E04, $169F74   	A5
$169F7F, $16A7C0   	18
$16A148, $16A80A   	50
$16A400, $16A8A2   	7E
$16A5DE, $16A916   	A6
$16A6D9, $16A963   	C0
$16A998, $16B3C1   	20
$16AD52, $16B480   	57
$16AF66, $16B4F1   	84
$16B272, $16B559   	AB
$16B582, $16C01C   	22
$16BAE9, $16C0BD   	59
$16BE15, $16C167   	86
$16BFAA, $16C172   	AC
$16C17D, $16CBDA   	27
$16C6CD, $16CCD5   	5E
$16CAA6, $16CD9D   	8A
$16CB5D, $16CDA8   	B0
$16CDF5, $16DD21   	28
$16D3C7, $16DDA7   	5F
$16D8B4, $16DEAE   	8B
$16DCF4, $16DF61   	B1
$16DF78, $16EF27   	2B
$16E0B6, $16EF62   	62
$16E763, $16EFF4   	8E
$16E842, $16F017   	B3
$16EBC4, $16F091   	C4
$16EC2C, $16F097   	CB
$16EC55, $16F099   	D2
$16F0FE, $16FEC6   	31
$16F93D, $16FF4C   	68
$16FC58, $16FF96   	94

; 8 levels
;$$4CE0A2, $4CE976 	01 ; $19E0A2
;$$4CE25E, $4CEA17 	3B ; $19E25E
;$$4CEACA, $4CF3D9 	23 ; $19EACA
;$$4CF046, $4CF43B 	5A ; $19F046
;$$4CF4D9, $4CFD2F 	2A ; $19F4D9
;$$4CF9FC, $4CFE27 	61 ; $19F9FC
;$$4CFA82, $4CFE3B 	8D ; $19FA82
;$$4CFC7A, $4CFE9A 	B2 ; $19FC7A

; 3 levels
;$510000, $510EEC  	32 ; $228000
;$510691, $510FDB  	69 ; $228691
;$510B51, $51106A  	95 ; $228B51
